firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
002c97de570d4b298c6f0230cb45010b,ARG1,Leverage Shares,2024-12-06,Equities (Stocks)
008b088e65bd428c9ac3e6372c3f81d1,UIMF,UBS,2024-10-31,Equities (Stocks)
00db75aebc0e464fb1a87b87e32c60d7,P500,Invesco,2024-12-06,Equities (Stocks)
00ed20632757416ab6c62812baa048e7,OP5E,OSSIAM ETF,2024-12-10,Equities (Stocks)
011a684019cf4ab0b3ea739af034dff0,AAPY,Leverage Shares,2024-12-06,Equities (Stocks)
014875b56e4f4a9bb5fc112f0a095205,USUE,UBS,2024-10-31,Equities (Stocks)
02a4d520462a4660be11617f07daa68e,VJPA,Vanguard,2024-07-31,Equities (Stocks)
02aea14f1cf14fd297cc98705e2e2068,SC01,Invesco,2024-12-06,Equities (Stocks)
0320fbfa6c954fabb51cc3433a8bcf3b,3SSM,Leverage Shares,2024-12-06,Equities (Stocks)
034ed95ee1a24e10854dc84562dba236,AW1H,UBS,2024-10-31,Equities (Stocks)
049e74f41b274a92b3cd041a118aaf94,ABCH,21Shares,2024-11-27,Other Asset Types
04aa40176d0d4a49aa8044e3c4d35032,USLG,21Shares,2024-11-27,Other Asset Types
04d92f0144d14d4f872f1626b0e2890b,SCO3,Leverage Shares,2024-12-06,Equities (Stocks)
04ffa48473d646899006a351a8f1cc65,TLT5,Leverage Shares,2024-12-06,Bonds
052b1dbc8dad4b7399b2f83cd40a7a8c,EUPA,OSSIAM ETF,2024-12-11,Equities (Stocks)
05463da1e8764aabab9ee234d5c8162f,PPAS,Leverage Shares,2024-12-06,Equities (Stocks)
0550404c342e4c1aa3535270c4aa1651,IGOG,Leverage Shares,2024-12-06,Equities (Stocks)
0590fcc3abda4f9aaa62b61a8bb4e0d1,H4Z7,HSBC,2024-12-11,Equities (Stocks)
05bb7e3c480344a9a393985094276e0e,H4ZY,HSBC,2024-12-11,Equities (Stocks)
060d31fc905c43eabaa83ba13a34f6f2,E500,Invesco,2024-12-06,Equities (Stocks)
0644f200aae848cea63aab57cf1ce02e,VNRA,Vanguard,2024-07-31,Equities (Stocks)
065e394471774194a0add1ec2f28e4c0,V3ML,Vanguard,2024-07-31,Equities (Stocks)
084e0da618534e699ac90ee4d7b308dd,AW1T,UBS,2024-10-31,Equities (Stocks)
08582257e0fd4df8b98c3c2d0f9be5f8,CNUA,UBS,2024-10-31,Equities (Stocks)
08d9c99004784ba585306ecb08093f09,CZX,Expat Capital,2024-11-29,Equities (Stocks)
096872b7e7324f8f943546cc04f7444f,FB3,Leverage Shares,2024-12-06,Equities (Stocks)
0018e0c0a29541afa42b441ed4761a6a,GREN,Goldman Sachs,2024-12-06,Bonds
