name,ticker,country,weight,sector,isin,currency,as_of_date
MicroStrategy Inc-CL A MSTR UW UNITED STATES 7.9% Cryptos in Balance Sheet,MSTR UW,UNITED STATES,7.9%,Cryptos in Balance Sheet,FR0014002IH8,EUR,2025-02-03
Coinbase Global Inc -Class A COIN UW UNITED STATES 6.3% Financial Service Provider,COIN UW,UNITED STATES,6.3%,Financial Service Provider,FR0014002IH8,EUR,2025-02-03
Marathon Digital Holdings Inc. MARA UR UNITED STATES 5.4% Mining,MARA UR,UNITED STATES,5.4%,Mining,FR0014002IH8,EUR,2025-02-03
Cleanspark Inc CLSK UR UNITED STATES 5.2% Mining,CLSK UR,UNITED STATES,5.2%,Mining,FR0014002IH8,EUR,2025-02-03
Riot Blockchain Inc RIOT UR UNITED STATES 4.9% Mining,RIOT UR,UNITED STATES,4.9%,Mining,FR0014002IH8,EUR,2025-02-03
Robinhood Markets Inc. HOOD US UNITED STATES 4.8% Financial Service Provider,HOOD US,UNITED STATES,4.8%,Financial Service Provider,FR0014002IH8,EUR,2025-02-03
BEYOND INC BYON US UNITED STATES 4.4% Cryptos in Balance Sheet,BYON US,UNITED STATES,4.4%,Cryptos in Balance Sheet,FR0014002IH8,EUR,2025-02-03
Cipher Mining Inc CIFR UW UNITED STATES 4.3% Mining,CIFR UW,UNITED STATES,4.3%,Mining,FR0014002IH8,EUR,2025-02-03
Hut 8 Mining Corp HUT US CANADA 4.2% Mining,HUT US,CANADA,4.2%,Mining,FR0014002IH8,EUR,2025-02-03
BitDeer Technologies Group BTDR US UNITED STATES 4.2% Mining,BTDR US,UNITED STATES,4.2%,Mining,FR0014002IH8,EUR,2025-02-03
